County,Per Capita Yearly Income,Housing Estimate,Population Estimate
Adair,25564,3671,7228
Adams,23707,2007,3796
Allamakee,24926,7667,13886
Appanoose,21599,6567,12529
Audubon,30919,2995,5773
Benton,26624,11085,25658
Black Hawk,24273,57069,133455
Boone,27149,11806,26643
Bremer,28727,10200,24722
Buchanan,27038,9005,21062
Buena Vista,22899,8293,20493
Butler,25269,6737,14915
Calhoun,25766,5088,9818
Carroll,25430,9427,20498
Cass,25448,6562,13427
Cedar,26567,8124,18340
Cerro Gordo,27291,22281,43017
Cherokee,26330,5780,11574
Chickasaw,24139,5660,12097
Clarke,23472,4129,9259
Clay,29060,8117,16507
Clayton,25074,9036,17644
Clinton,25966,21836,47768
Crawford,22748,6984,17094
Dallas,35844,31144,80133
Davis,22210,3576,8769
Decatur,18845,3845,8220
Delaware,26261,8027,17403
Des Moines,24408,18456,40055
Dickinson,31790,13300,17111
Dubuque,26254,40588,97125
Emmet,27908,4786,9769
Fayette,23391,9538,20257
Floyd,24590,7523,15960
Franklin,26102,4850,10295
Fremont,26930,3446,6906
Greene,26205,4531,9027
Grundy,31164,5555,12435
Guthrie,28030,5749,10676
Hamilton,24510,7175,15190
Hancock,25814,5315,10974
Hardin,25153,8162,17367
Harrison,26184,6755,14265
Henry,22687,8278,19950
Howard,24286,4359,9410
Humboldt,26746,4696,9555
Ida,25869,3433,7028
Iowa,28068,7277,16401
Jackson,24493,9480,19444
Jasper,24905,16157,36827
Jefferson,27593,7539,17555
Johnson,29592,59787,144251
Jones,26762,8902,20466
Keokuk,22243,4875,10163
Kossuth,29127,7483,15165
Lee,22649,16164,35089
Linn,29943,95333,219916
Louisa,24272,5004,11185
Lucas,21126,4199,8682
Lyon,23683,4991,11745
Madison,27685,6728,15753
Mahaska,23788,9802,22324
Marion,25477,14077,33294
Marshall,24117,16708,40746
Mills,27101,6080,14844
Mitchell,24518,4939,10832
Monona,24557,4716,8979
Monroe,24508,3961,7973
Montgomery,22868,5198,10234
Muscatine,25038,18031,43011
O'Brien,28086,6647,13984
Osceola,24653,2961,6154
Page,23496,7178,15527
Palo Alto,25055,4599,9133
Plymouth,27942,10688,24800
Pocahontas,25556,3765,7008
Polk,30442,195114,467711
Pottawattamie,25847,39616,93671
Poweshiek,25318,9053,18550
Ringgold,23324,2602,5068
Sac,26350,5399,10021
Scott,28948,73279,172126
Shelby,26387,5566,11927
Sioux,24324,12659,34937
Story,25986,38569,96021
Tama,25311,7748,17337
Taylor,23793,3085,6205
Union,23007,5904,12469
Van Buren,21368,3616,7344
Wapello,22699,15999,35173
Warren,29088,19315,48626
Washington,26459,9570,22247
Wayne,22127,3177,6385
Webster,24203,17016,37071
Winnebago,24547,5181,10609
Winneshiek,25062,8838,20709
Woodbury,23269,41560,102782
Worth,26187,3518,7569
Wright,25827,6493,12773